區間: 長 [8, 17], 寬 [8, 17]
  (8.0, 8.0, 816)
  (8.0, 8.0, 816)
  (8.0, 8.0, 816)
  (8.0, 8.0, 816)
  (8.0, 8.0, 1014)
  (8.0, 8.0, 1014)
  (8.0, 8.0, 1219)
  (8.0, 8.0, 1219)
  (8.0, 8.0, 1219)
  (8.0, 8.0, 1219)
  (8.0, 8.0, 3015)
  (8.0, 8.0, 3015)
  (8.0, 8.0, 3015)
  (8.0, 8.0, 3015)
  (8.0, 8.0, 4507)
  (8.0, 8.0, 4507)
  (8.0, 8.0, 4507)
  (8.0, 8.0, 4507)
  (8.0, 8.0, 4507)
  (8.0, 8.0, 4984)
  (8.0, 8.0, 4984)
  (8.0, 8.0, 4984)
  (8.0, 8.0, 5667)
  (8.0, 8.0, 5667)
  (8.0, 8.0, 5667)
  (8.0, 8.0, 5667)
  (8.0, 8.0, 6602)
  (8.0, 8.0, 7118)
  (8.0, 8.0, 7118)
  (8.0, 8.0, 7118)
  (8.0, 9.0, 716)
  (8.0, 9.0, 716)
  (8.0, 9.0, 716)
  (8.0, 9.0, 716)
  (8.0, 9.0, 716)
  (8.0, 9.0, 856)
  (8.0, 9.0, 856)
  (8.0, 9.0, 1372)
  (8.0, 9.0, 1372)
  (8.0, 9.0, 1372)
  (8.0, 9.0, 1372)
  (8.0, 9.0, 1587)
  (8.0, 9.0, 1587)
  (8.0, 9.0, 1626)
  (8.0, 9.0, 1626)
  (8.0, 9.0, 1626)
  (8.0, 9.0, 4098)
  (8.0, 9.0, 4098)
  (8.0, 9.0, 4656)
  (8.0, 9.0, 4656)
  (8.0, 9.0, 4656)
  (8.0, 9.0, 4656)
  (8.0, 9.0, 5562)
  (8.0, 9.0, 5562)
  (8.0, 9.0, 5562)
  (8.0, 9.0, 5562)
  (8.0, 9.0, 5562)
  (8.0, 9.0, 5562)
  (8.0, 9.0, 5562)
  (8.0, 9.0, 5562)
  (8.0, 9.0, 5562)
  (8.0, 9.0, 5990)
  (8.0, 9.0, 7177)
  (8.0, 9.0, 7177)
  (8.0, 9.0, 7177)
  (8.0, 9.0, 7335)
  (8.0, 9.0, 7335)
  (8.0, 9.0, 7335)
  (8.0, 9.0, 7335)
  (8.0, 9.0, 7335)
  (8.0, 9.0, 7335)
  (8.0, 9.0, 7335)
  (8.0, 9.0, 7862)
  (8.0, 9.0, 7862)
  (8.0, 9.0, 7862)
  (8.0, 9.0, 7862)
  (8.0, 9.0, 7862)
  (8.0, 9.0, 7862)
  (8.0, 9.0, 8100)
  (8.0, 9.0, 8100)
  (8.0, 9.0, 8100)
  (8.0, 9.0, 8190)
  (8.0, 9.0, 9349)
  (8.0, 9.0, 9349)
  (8.0, 9.0, 9491)
  (8.0, 9.0, 9537)
  (8.0, 9.0, 9537)
  (8.0, 9.0, 9537)
  (8.0, 11.0, 4503)
  (8.0, 11.0, 4503)
  (8.0, 11.0, 4503)
  (9.0, 8.0, 675)
  (9.0, 8.0, 675)
  (9.0, 8.0, 675)
  (9.0, 8.0, 675)
  (9.0, 8.0, 675)
  (9.0, 8.0, 675)
  (9.0, 8.0, 675)
  (9.0, 8.0, 675)
  (9.0, 8.0, 675)
  (9.0, 8.0, 675)
  (9.0, 8.0, 675)
  (9.0, 8.0, 675)
  (9.0, 8.0, 675)
  (9.0, 8.0, 675)
  (9.0, 8.0, 675)
  (9.0, 8.0, 675)
  (9.0, 8.0, 675)
  (9.0, 8.0, 675)
  (9.0, 8.0, 675)
  (9.0, 8.0, 675)
  (9.0, 8.0, 675)
  (9.0, 8.0, 675)
  (9.0, 8.0, 675)
  (9.0, 8.0, 675)
  (9.0, 8.0, 675)
  (9.0, 8.0, 675)
  (9.0, 8.0, 675)
  (9.0, 8.0, 675)
  (9.0, 8.0, 675)
  (9.0, 8.0, 675)
  (9.0, 8.0, 675)
  (9.0, 8.0, 675)
  (9.0, 8.0, 675)
  (9.0, 8.0, 675)
  (9.0, 8.0, 675)
  (9.0, 8.0, 675)
  (9.0, 8.0, 675)
  (9.0, 8.0, 675)
  (9.0, 8.0, 675)
  (9.0, 8.0, 675)
  (9.0, 8.0, 675)
  (9.0, 8.0, 675)
  (9.0, 8.0, 675)
  (9.0, 8.0, 675)
  (9.0, 8.0, 675)
  (9.0, 8.0, 675)
  (9.0, 8.0, 675)
  (9.0, 8.0, 675)
  (9.0, 8.0, 675)
  (9.0, 8.0, 675)
  (9.0, 8.0, 675)
  (9.0, 8.0, 675)
  (9.0, 8.0, 675)
  (9.0, 8.0, 675)
  (9.0, 8.0, 675)
  (9.0, 8.0, 675)
  (9.0, 8.0, 675)
  (9.0, 8.0, 675)
  (9.0, 8.0, 675)
  (9.0, 8.0, 675)
  (9.0, 8.0, 675)
  (9.0, 8.0, 675)
  (9.0, 8.0, 675)
  (9.0, 8.0, 675)
  (9.0, 8.0, 675)
  (9.0, 8.0, 675)
  (9.0, 8.0, 675)
  (9.0, 8.0, 675)
  (9.0, 8.0, 675)
  (9.0, 8.0, 675)
  (9.0, 8.0, 675)
  (9.0, 8.0, 675)
  (9.0, 8.0, 675)
  (9.0, 8.0, 675)
  (9.0, 8.0, 675)
  (9.0, 8.0, 675)
  (9.0, 8.0, 675)
  (9.0, 8.0, 675)
  (9.0, 8.0, 675)
  (9.0, 8.0, 1602)
  (9.0, 8.0, 1602)
  (9.0, 8.0, 1602)
  (9.0, 8.0, 1602)
  (9.0, 8.0, 1602)
  (9.0, 8.0, 1602)
  (9.0, 8.0, 1602)
  (9.0, 8.0, 1602)
  (9.0, 8.0, 1602)
  (9.0, 8.0, 1602)
  (9.0, 8.0, 1602)
  (9.0, 8.0, 1602)
  (9.0, 8.0, 1602)
