區間: 長 [8, 17], 寬 [8, 17]
  (8.0, 8.0, 816)
  (8.0, 8.0, 1219)
  (8.0, 8.0, 7157)
  (8.0, 9.0, 1288)
  (8.0, 9.0, 1372)
  (8.0, 9.0, 1587)
  (8.0, 9.0, 4237)
  (8.0, 9.0, 4726)
  (8.0, 9.0, 4726)
  (8.0, 9.0, 5287)
  (8.0, 9.0, 5562)
  (8.0, 9.0, 7177)
  (8.0, 9.0, 8472)
  (8.0, 9.0, 8566)
  (8.0, 9.0, 9038)
  (8.0, 9.0, 9268)
  (8.0, 9.0, 9349)
  (8.0, 11.0, 4503)
  (9.0, 8.0, 675)
  (9.0, 8.0, 675)
  (9.0, 8.0, 675)
  (9.0, 8.0, 1014)
  (9.0, 8.0, 1602)
  (9.0, 8.0, 1602)
  (9.0, 8.0, 1602)
  (9.0, 8.0, 2489)
  (9.0, 8.0, 2489)
  (9.0, 8.0, 2489)
  (9.0, 8.0, 2890)
  (9.0, 8.0, 3496)
  (9.0, 8.0, 3870)
  (9.0, 8.0, 4237)
  (9.0, 8.0, 4237)
  (9.0, 8.0, 4237)
  (9.0, 8.0, 4726)
  (9.0, 8.0, 4726)
  (9.0, 8.0, 4726)
  (9.0, 8.0, 4984)
  (9.0, 8.0, 6373)
  (9.0, 8.0, 6517)
  (9.0, 8.0, 6888)
  (9.0, 8.0, 8188)
  (9.0, 8.0, 8259)
  (9.0, 8.0, 8259)
  (9.0, 8.0, 8259)
  (9.0, 8.0, 8512)
  (9.0, 8.0, 8512)
  (9.0, 8.0, 9038)
  (9.0, 8.0, 9038)
  (9.0, 8.0, 9253)
  (9.0, 8.0, 9253)
  (9.0, 8.0, 9268)
  (9.0, 8.0, 9657)
  (9.0, 9.0, 110)
  (9.0, 9.0, 245)
  (9.0, 9.0, 1288)
  (9.0, 9.0, 1771)
  (9.0, 9.0, 3115)
  (9.0, 9.0, 3310)
  (9.0, 9.0, 3640)
  (9.0, 9.0, 5562)
  (9.0, 9.0, 7050)
  (9.0, 9.0, 7257)
  (9.0, 9.0, 8533)
  (9.0, 9.0, 9268)
  (9.0, 10.0, 4985)
  (9.0, 10.0, 5339)
  (9.0, 10.0, 6587)
  (9.0, 10.0, 6602)
  (9.0, 10.0, 9207)
  (9.0, 11.0, 3044)
  (9.0, 11.0, 3915)
  (9.0, 11.0, 8624)
  (9.0, 13.0, 4962)
  (9.0, 13.0, 7849)
  (10.0, 8.0, 5287)
  (10.0, 9.0, 1532)
  (10.0, 9.0, 2124)
  (10.0, 9.0, 9746)
  (10.0, 10.0, 593)
  (10.0, 10.0, 815)
  (10.0, 10.0, 2731)
  (10.0, 10.0, 3044)
  (10.0, 10.0, 3915)
  (10.0, 11.0, 7239)
  (10.0, 11.0, 8690)
  (10.0, 13.0, 4427)
  (10.0, 14.0, 4333)
  (10.0, 16.0, 7729)
  (11.0, 9.0, 245)
  (11.0, 9.0, 1844)
  (11.0, 9.0, 2652)
  (11.0, 9.0, 4456)
  (11.0, 9.0, 5330)
  (11.0, 10.0, 1135)
  (11.0, 10.0, 1463)
  (11.0, 10.0, 2723)
  (11.0, 10.0, 2890)
  (11.0, 10.0, 3496)
  (11.0, 10.0, 3598)
  (11.0, 10.0, 3710)
  (11.0, 10.0, 3710)
  (11.0, 10.0, 3710)
  (11.0, 10.0, 3870)
  (11.0, 10.0, 6186)
  (11.0, 10.0, 6328)
  (11.0, 10.0, 6888)
  (11.0, 10.0, 7706)
  (11.0, 10.0, 9456)
  (11.0, 11.0, 689)
  (11.0, 11.0, 5984)
  (11.0, 11.0, 8346)
  (11.0, 13.0, 9297)
  (12.0, 9.0, 2734)
  (12.0, 9.0, 8566)
  (12.0, 10.0, 1154)
  (12.0, 10.0, 2157)
  (12.0, 10.0, 3493)
  (12.0, 10.0, 4600)
  (12.0, 10.0, 8181)
  (12.0, 11.0, 130)
  (12.0, 11.0, 521)
  (12.0, 11.0, 521)
  (12.0, 11.0, 1135)
  (12.0, 11.0, 2253)
  (12.0, 11.0, 2440)
  (12.0, 12.0, 7706)
  (12.0, 13.0, 1096)
  (12.0, 15.0, 7886)
  (12.0, 15.0, 8011)
  (13.0, 8.0, 3496)
  (13.0, 8.0, 3710)
  (13.0, 8.0, 8724)
  (13.0, 9.0, 1931)
  (13.0, 9.0, 3840)
  (13.0, 9.0, 8349)
  (13.0, 10.0, 1736)
  (13.0, 10.0, 2066)
  (13.0, 10.0, 4265)
  (13.0, 10.0, 6047)
  (13.0, 10.0, 7365)
  (13.0, 10.0, 9094)
  (13.0, 11.0, 9587)
  (13.0, 12.0, 2723)
  (13.0, 12.0, 3710)
  (13.0, 12.0, 9535)
  (13.0, 13.0, 4537)
  (13.0, 13.0, 8346)
  (13.0, 14.0, 5130)
  (13.0, 14.0, 5892)
  (13.0, 14.0, 8144)
  (13.0, 16.0, 1463)
  (13.0, 17.0, 2791)
  (14.0, 9.0, 6888)
  (14.0, 11.0, 130)
  (14.0, 12.0, 130)
  (14.0, 12.0, 1488)
  (14.0, 12.0, 2268)
  (14.0, 12.0, 8064)
  (14.0, 13.0, 3312)
  (14.0, 13.0, 6378)
  (14.0, 14.0, 2791)
  (14.0, 14.0, 6378)
  (14.0, 14.0, 9596)
  (14.0, 17.0, 627)
  (14.0, 17.0, 4521)
  (14.0, 17.0, 8256)
  (15.0, 9.0, 6378)
  (15.0, 10.0, 593)
  (15.0, 10.0, 3310)
  (15.0, 10.0, 9456)
  (15.0, 11.0, 5329)
  (15.0, 12.0, 2277)
  (15.0, 12.0, 9535)
  (15.0, 13.0, 347)
  (15.0, 13.0, 347)
  (15.0, 13.0, 2056)
  (15.0, 13.0, 9717)
  (15.0, 14.0, 6378)
  (15.0, 14.0, 7364)
  (15.0, 14.0, 9717)
  (15.0, 15.0, 2056)
  (15.0, 15.0, 2250)
  (15.0, 15.0, 9333)
  (15.0, 16.0, 483)
  (15.0, 16.0, 511)
  (15.0, 16.0, 1154)
  (15.0, 16.0, 6378)
  (15.0, 16.0, 7706)
  (16.0, 9.0, 6926)
  (16.0, 14.0, 6378)
  (16.0, 14.0, 7529)
  (16.0, 14.0, 9717)
  (16.0, 15.0, 3551)
  (16.0, 16.0, 3996)
  (17.0, 11.0, 1488)
  (17.0, 12.0, 829)
  (17.0, 13.0, 1376)
  (17.0, 15.0, 6654)
  (17.0, 17.0, 124)
  (17.0, 17.0, 8256)

區間: 長 [8, 17], 寬 [18, 27]
